,0
0,Alabama
1,Colorado
2,Connecticut
3,Georgia
4,Idaho
5,Illinois
6,Indiana
7,Kansas
8,Kentucky
9,Louisiana
10,Maryland
11,Massachusetts
12,Michigan
13,Minnesota
14,Mississippi
15,Missouri
16,Montana
17,Nebraska
18,Nevada
19,New Hampshire
20,Oklahoma
21,Oregon
22,Pennsylvania
23,Rhode Island
24,South Carolina
25,South Dakota
26,Tennessee
27,Utah
28,Vermont
29,Virginia
30,Washington
31,West Virginia
32,Wisconsin
33,Wyoming
